controller,n,seed,placed,completed,mwt,mean_time_loss,mean_in_system,departed,action_hold,action_expert,action_override
actuated,1000,2,1000,267,226.04868913857678,318.6586891385768,372.99833472106576,765,0,0,0
actuated,1000,3,1000,398,280.40452261306535,392.705351758794,347.5437135720233,791,0,0,0
actuated,1000,4,1000,273,260.27838827838826,357.386043956044,355.0108243130724,722,0,0,0
actuated,1000,5,1000,261,155.88122605363984,225.88869731800764,352.71357202331393,740,0,0,0
actuated,1000,6,1000,234,193.98290598290598,276.56982905982903,371.20482930890927,733,0,0,0
actuated,1000,7,1000,398,162.1859296482412,247.43296482412063,310.74188176519567,828,0,0,0
actuated,1000,8,1000,346,177.17630057803467,258.1441040462428,332.1099084096586,789,0,0,0
actuated,1000,9,1000,359,148.49025069637884,229.81874651810583,324.1865112406328,804,0,0,0
actuated,1300,0,1300,168,122.91666666666667,191.6397023809524,457.8143213988343,758,0,0,0
actuated,1300,1,1300,145,134.94482758620688,193.86220689655173,463.09741881765194,737,0,0,0
actuated,1300,2,1300,129,141.87596899224806,203.7888372093023,470.83014154870943,726,0,0,0
actuated,1300,3,1300,166,95.25903614457832,149.79042168674698,452.14321398834306,728,0,0,0
actuated,1300,4,1300,199,136.9748743718593,211.35226130653265,448.6652789342215,783,0,0,0
actuated,1300,5,1300,148,101.1554054054054,150.83628378378378,463.46544546211493,744,0,0,0
actuated,1300,6,1300,113,163.12389380530973,227.03761061946904,471.52289758534556,716,0,0,0
actuated,1300,7,1300,173,120.2485549132948,180.97826589595377,466.91756869275605,771,0,0,0
actuated,1300,8,1300,209,81.01913875598086,136.51775119617224,439.6786011656952,775,0,0,0
actuated,1300,9,1300,229,149.3013100436681,226.1653711790393,442.53788509575355,807,0,0,0
actuated,1700,0,1700,95,66.4421052631579,112.97463157894737,518.2672772689425,698,0,0,0
actuated,1700,1,1700,111,105.72072072072072,161.25639639639638,526.9658617818485,713,0,0,0
actuated,1700,2,1700,79,60.70886075949367,103.31784810126582,531.2089925062448,685,0,0,0
actuated,1700,3,1700,102,65.90196078431373,107.43843137254902,526.4421315570359,705,0,0,0
actuated,1700,4,1700,92,114.1195652173913,170.63760869565218,520.9208992506245,694,0,0,0
actuated,1700,5,1700,103,114.10679611650485,161.01077669902912,521.7260616153205,707,0,0,0
actuated,1700,6,1700,84,101.96428571428571,153.52214285714285,530.4804329725229,687,0,0,0
actuated,1700,7,1700,149,97.96644295302013,163.39610738255033,515.1590341382182,745,0,0,0
actuated,1700,8,1700,109,51.79816513761468,91.60715596330276,516.2739383846795,715,0,0,0
actuated,1700,9,1700,110,123.94545454545455,184.0247272727273,526.7760199833472,712,0,0,0
max_pressure,50,0,50,50,5.78,23.6864,3.468776019983347,50,0,0,0
max_pressure,50,1,50,50,6.48,22.281399999999998,3.661948376353039,50,0,0,0
max_pressure,50,2,50,50,7.1,24.6864,3.646128226477935,50,0,0,0
max_pressure,50,3,50,50,6.88,24.340799999999998,3.496253122398002,50,0,0,0
max_pressure,50,4,50,50,5.84,23.1534,3.447127393838468,50,0,0,0
max_pressure,50,5,50,50,6.66,23.7604,3.1690258118234804,50,0,0,0
max_pressure,50,6,50,50,5.44,21.057199999999998,3.0882597835137386,50,0,0,0
max_pressure,50,7,50,50,7.12,24.659000000000002,3.462947543713572,50,0,0,0
max_pressure,50,8,50,50,6.6,22.6508,3.2872606161532056,50,0,0,0
max_pressure,50,9,50,50,6.08,22.742599999999996,3.1373855120732723,50,0,0,0
max_pressure,100,0,100,100,6.82,24.2251,6.67360532889259,100,0,0,0
max_pressure,100,1,100,100,7.4,25.3844,7.328059950041632,100,0,0,0
max_pressure,100,2,100,100,7.36,24.6512,6.766860949208993,100,0,0,0
max_pressure,100,3,100,100,8.01,25.9973,7.019983347210657,100,0,0,0
max_pressure,100,4,100,100,6.65,23.974,6.972522897585345,100,0,0,0
max_pressure,100,5,100,100,7.4,25.601,6.935886761032473,100,0,0,0
max_pressure,100,6,100,100,7.16,24.957800000000002,6.78601165695254,100,0,0,0
max_pressure,100,7,100,100,6.8,24.3067,6.873438800999168,100,0,0,0
max_pressure,100,8,100,100,6.62,23.289099999999998,6.476269775187344,100,0,0,0
max_pressure,100,9,100,100,7.21,24.7599,6.420482930890924,100,0,0,0
max_pressure,200,0,200,200,7.19,25.1845,13.375520399666945,200,0,0,0
max_pressure,200,1,200,200,7.745,26.7729,13.947543713572024,200,0,0,0
max_pressure,200,2,200,200,9.06,27.652199999999997,14.108243130724397,200,0,0,0
max_pressure,200,3,200,200,8.745,27.260949999999998,13.902581182348044,200,0,0,0
max_pressure,200,4,200,200,8.05,26.278000000000002,14.014154870940883,200,0,0,0
max_pressure,200,5,200,200,8.585,27.281999999999996,13.995004163197336,200,0,0,0
max_pressure,200,6,200,200,8.86,27.74345,13.911740216486262,200,0,0,0
max_pressure,200,7,200,200,8.32,27.310850000000002,14.078268109908409,200,0,0,0
max_pressure,200,8,200,200,7.475,25.837699999999998,13.743547044129892,200,0,0,0
max_pressure,200,9,200,200,8.955,27.2322,12.960865945045795,200,0,0,0
max_pressure,300,0,300,300,9.13,28.999399999999998,21.501248959200666,300,0,0,0
max_pressure,300,1,300,300,9.76,30.3397,21.82264779350541,300,0,0,0
max_pressure,300,2,300,300,10.28,30.0016,21.658617818484597,300,0,0,0
max_pressure,300,3,300,300,9.723333333333333,29.890833333333333,21.435470441298918,300,0,0,0
max_pressure,300,4,300,300,9.023333333333333,28.26676666666667,21.272273105745214,300,0,0,0
max_pressure,300,5,300,300,9.863333333333333,29.697366666666664,21.480432972522898,300,0,0,0
max_pressure,300,6,300,300,9.583333333333334,29.1887,21.134054954204828,300,0,0,0
max_pressure,300,7,300,300,10.213333333333333,30.451500000000003,21.21232306411324,300,0,0,0
max_pressure,300,8,300,300,10.01,29.70706666666667,21.210657785179016,300,0,0,0
max_pressure,300,9,300,300,9.27,28.887900000000002,20.095753538717734,300,0,0,0
max_pressure,450,0,450,450,14.9,38.23673333333333,35.39050791007494,450,0,0,0
max_pressure,450,1,450,450,16.351111111111113,40.64595555555556,35.751873438801,450,0,0,0
max_pressure,450,2,450,450,12.917777777777777,35.64597777777778,34.70857618651124,450,0,0,0
max_pressure,450,3,450,450,12.384444444444444,34.437711111111106,33.95253955037469,450,0,0,0
max_pressure,450,4,450,450,14.78,37.57397777777778,34.80849292256453,450,0,0,0
max_pressure,450,5,450,450,14.04,36.9716,33.87177352206495,450,0,0,0
max_pressure,450,6,450,450,14.215555555555556,37.49153333333333,35.313072439633636,450,0,0,0
max_pressure,450,7,450,450,14.144444444444444,37.029044444444445,33.659450457951706,450,0,0,0
max_pressure,450,8,450,450,13.284444444444444,35.64395555555556,34.26061615320566,450,0,0,0
max_pressure,450,9,450,450,15.524444444444445,38.16751111111111,33.69691923397169,450,0,0,0
max_pressure,600,0,600,600,24.616666666666667,54.927150000000005,55.539550374687764,600,0,0,0
max_pressure,600,1,600,600,23.935,53.739200000000004,54.27810158201499,600,0,0,0
max_pressure,600,2,600,600,34.16833333333334,72.54853333333334,64.48542880932557,600,0,0,0
max_pressure,600,3,600,600,28.35,61.12755,57.94171523730225,600,0,0,0
max_pressure,600,4,600,600,24.736666666666668,54.75865,54.52123230641132,600,0,0,0
max_pressure,600,5,600,600,27.035,57.951966666666664,55.21648626144879,600,0,0,0
max_pressure,600,6,600,600,22.283333333333335,51.8347,53.61365528726061,600,0,0,0
max_pressure,600,7,600,600,20.313333333333333,48.242383333333336,51.01248959200666,600,0,0,0
max_pressure,600,8,600,600,29.273333333333333,62.47396666666666,58.58368026644463,600,0,0,0
max_pressure,600,9,600,600,23.636666666666667,52.990383333333334,51.22564529558701,600,0,0,0
max_pressure,800,0,800,800,71.5275,142.2358625,129.37885095753538,800,0,0,0
max_pressure,800,1,800,797,69.57089084065245,138.42326223337514,127.8676103247294,797,0,0,0
max_pressure,800,2,800,764,116.0,232.44667539267016,172.766860949209,764,0,0,0
max_pressure,800,3,800,791,87.51706700379266,181.93812895069533,154.76436303080766,791,0,0,0
